Idx, x, y, duration
0,688,664,1233
1,560,495,1233
2,672,464,200
3,634,459,241
4,690,232,575
5,557,251,416
6,549,304,108
7,634,464,791
8,192,649,325
0,639,550,458
1,511,381,458
2,647,475,233
3,428,393,208
4,457,167,233
5,433,91,508
6,650,458,466
7,548,142,183
8,432,100,1191
0,607,607,341
1,479,438,341
2,430,210,217
3,437,151,208
4,691,322,108
5,655,446,191
6,641,467,133
7,848,489,216
8,867,453,75
9,694,489,150
10,636,460,150
11,408,91,125
0,595,460,25
1,693,443,42
2,681,305,541
3,680,371,50
4,453,338,591
5,448,165,366
0,505,336,25
1,693,399,8
2,454,47,17
3,665,461,83
4,425,246,92
0,719,346,508
1,591,177,508
2,647,431,316
3,639,571,341
4,585,565,325
0,634,550,666
1,506,381,666
2,647,443,200
3,455,155,250
4,426,117,317
5,700,443,50
6,648,472,508
7,749,432,192
8,898,458,275
9,516,53,42
10,427,104,75
11,597,136,50
0,476,304,17
1,523,239,108
2,492,269,150
3,420,154,100
4,426,147,300
5,688,168,483
0,611,515,341
1,483,346,341
2,441,154,133
3,692,175,141
4,676,250,50
5,649,480,383
6,398,139,292
7,417,99,200
8,694,152,508
9,804,173,233
10,403,107,691
0,426,203,50
1,428,124,208
2,230,236,283
3,46,236,83
4,688,433,83
5,782,150,366
0,674,404,125
1,642,500,108
2,658,434,200
3,465,136,124
4,432,92,458
5,435,45,291
