Idx, x, y, duration
0,790,246,583
1,662,76,583
2,509,263,283
3,494,330,283
4,761,301,366
5,537,293,524
6,443,280,50
7,386,268,325
8,512,344,391
9,621,494,383
10,470,459,658
0,591,392,92
1,517,334,242
2,486,458,358
3,474,405,158
4,470,289,133
5,502,280,125
6,536,163,8
7,553,204,108
8,543,286,75
0,852,595,708
1,724,425,708
2,436,390,225
3,515,299,666
4,466,448,516
5,500,324,566
6,472,294,774
7,500,359,1133
0,639,346,1191
1,511,176,1191
2,508,278,566
3,456,424,799
4,486,314,466
5,479,287,799
0,598,647,466
1,470,477,466
2,491,372,541
3,396,241,375
4,483,385,575
5,502,346,1324
0,522,310,167
1,483,436,25
2,504,295,516
3,501,328,183
4,505,276,675
0,1017,460,383
1,889,290,383
2,521,309,550
3,455,126,158
4,95,159,42
5,45,164,83
6,38,159,200
7,80,70,208
8,724,94,600
0,684,383,291
1,556,213,291
2,499,295,225
3,520,227,67
4,488,296,358
5,487,214,58
6,514,274,658
7,519,294,133
8,590,156,250
9,791,112,266
10,864,161,108
11,897,119,116
12,255,175,341
0,615,503,2457
1,487,333,2457
2,652,413,167
3,515,305,1041
4,501,369,350
5,460,445,1133
0,321,293,8
0,504,345,716
1,597,296,575
2,500,298,1474
0,620,386,58
1,560,326,192
2,534,356,8
3,468,336,8
4,467,359,92
5,568,297,8
6,475,351,67
7,463,346,8
8,552,255,67
9,531,267,83
10,543,301,8
11,533,224,8
0,608,614,250
1,480,444,250
2,505,319,1016
3,521,260,50
4,524,299,1474
