idx,x,y,duration,img
0,640,407,291,207
1,512,243,291,207
2,367,504,400,207
3,251,558,516,207
4,111,508,225,207
5,78,466,125,207
6,68,490,83,207
7,247,522,350,207
8,381,393,566,207
9,661,519,450,207
0,625,696,583,95
1,601,531,675,95
2,577,646,108,95
3,69,331,316,95
4,114,286,400,95
5,653,742,508,95
6,425,634,283,95
7,289,529,441,95
8,200,117,67,95
0,672,556,641,203
1,375,556,641,203
2,381,343,366,203
3,201,344,316,203
4,382,401,616,203
5,409,825,133,203
6,388,883,75,203
7,197,794,75,203
8,156,783,291,203
9,96,602,325,203
0,577,674,658,81
1,278,674,658,81
2,266,772,241,81
3,393,561,316,81
4,379,831,416,81
5,256,1000,333,81
6,92,901,92,81
7,71,851,158,81
8,402,622,108,81
9,384,693,133,81
10,361,804,308,81
11,349,865,233,81
12,372,823,58,81
13,437,903,350,81
0,297,518,466,271
1,169,390,466,271
2,419,442,416,271
3,500,195,333,271
4,813,469,150,271
5,786,527,50,271
6,767,513,8,271
7,428,154,191,271
8,318,164,250,271
9,274,193,333,271
10,267,237,67,271
0,700,391,525,176
1,442,409,774,176
2,496,533,342,176
3,281,370,225,176
4,251,407,58,176
5,212,243,50,176
6,217,113,225,176
7,162,220,741,176
0,604,508,325,193
1,476,380,325,193
2,631,431,333,193
3,646,527,458,193
4,609,361,175,193
5,570,387,92,193
6,193,303,117,193
7,224,230,192,193
8,230,392,92,193
9,220,328,91,193
10,207,191,133,193
11,184,74,75,193
12,181,134,191,193
13,220,102,308,193
14,564,353,158,193
15,594,330,75,193
16,605,403,50,193
17,627,374,183,193
0,666,548,283,272
1,410,548,283,272
2,1,409,208,272
3,176,190,283,272
4,146,741,450,272
5,184,700,375,272
6,494,902,674,272
7,394,126,133,272
8,400,278,142,272
9,407,272,8,272
10,160,568,266,272
